,stock_code,date,open_p,max_p,min_p,close_p,volume_s,volume_p,volume_s1,volume_s7,volume_s30,gap,re,OBV,K,D,J,CCI,MACD,var,credit
63,SH600519,2019-04-09,903.0,908.2,892.51,905.0,4798980,4308645888.0,6625193.0,5756676.0,8262259.0,15.690000000000055,0.0022148394241417496,779457130.0,90.9235220009506,83.98373290312732,104.80310019659717,-57.64276582298744,9059.47428292293,-0.011376816177821155,1.0
64,SH600519,2019-04-10,903.0,951.9,900.0,947.99,6781438,6331858944.0,4798980.0,9093396.0,5796466.0,51.89999999999998,0.04982281284606867,786238568.0,93.16491327557056,87.0441263606084,105.40648710549488,-85.53819796668193,9254.736691461458,-0.011376816177821155,1.0
65,SH600519,2019-04-11,948.0,950.0,905.55,925.2,6110254,5643817472.0,6781438.0,6093461.0,6594227.0,44.450000000000045,-0.024050632911392356,780128314.0,88.1320128866355,87.40675520261743,89.58252825467162,-63.26430976430976,9357.358513767014,-0.011376816177821155,-1.0
66,SH600519,2019-04-12,909.0,919.99,900.01,914.0,4861217,4419350016.0,6110254.0,5322705.0,5698625.0,19.980000000000018,0.005500550055005501,775267097.0,81.35359331933118,85.38903457485536,73.28271080828281,-21.246456332875937,9412.94693129367,-0.011347246569783843,1.0
67,SH600519,2019-04-15,931.0,939.0,907.0,907.0,4552300,4205548544.0,4861217.0,4305680.0,6384023.0,32.0,-0.02577873254564984,770714797.0,74.85203726032847,81.87670213667973,60.80270750762597,-17.847889828017557,9440.924993676863,-0.011376816177821155,-1.0
68,SH600519,2019-04-16,904.9,939.9,901.22,939.9,4642344,4297385472.0,4552300.0,5577236.0,8458596.0,38.67999999999995,0.038678306995248095,775357141.0,79.83593205408592,81.19644544248179,77.11490527729418,-15.452038183122076,9536.419940580921,-0.011376816177821155,1.0
69,SH600519,2019-04-17,938.0,955.51,925.0,952.0,4076102,3848216576.0,4642344.0,6625193.0,4483056.0,30.50999999999999,0.014925373134328358,779433243.0,85.57664936369117,82.65651341621826,91.41692125863702,-40.71310728620338,9638.585486701422,-0.011376816177821155,1.0
70,SH600519,2019-04-18,945.41,954.68,936.22,945.5,1959852,1853076096.0,4076102.0,4798980.0,4673137.0,18.459999999999923,9.519679292585422e-05,777473391.0,85.281715877981,83.5315809034725,88.78198582699798,-34.183310327990434,9704.416575912906,-0.011376816177821155,1.0
71,SH600519,2019-04-19,943.96,960.95,931.31,952.56,3237978,3064971008.0,1959852.0,6781438.0,6018053.0,29.6400000000001,0.009110555532013972,780711369.0,86.10150627984625,84.3882226955971,89.52807344834454,-55.81073421979772,9771.97197339027,-0.011376816177821155,1.0
72,SH600519,2019-04-22,959.5,978.89,940.61,949.2,4062796,3897168640.0,3237978.0,6110254.0,5227525.0,38.27999999999997,-0.010734757686294899,776648573.0,78.18944378600645,82.32196305906687,69.9244052398856,-89.42294961676194,9817.605177629044,-0.011376816177821155,1.0
